routeid_date,cluster,anomaly_label,anomaly_score,cluster_mean_diff,peak_ratio,comment_ko
CJB270012900_2024-01-13,4.0,1.0,-0.5231230581581188,0.9598625662931565,0.125,정상 또는 경미한 편차
CJB270012900_2024-01-14,4.0,1.0,-0.5299533878302372,0.7459594989443055,0.13636363636363635,정상 또는 경미한 편차
CJB270012900_2024-01-15,2.0,1.0,-0.5480395535119095,0.610898442668284,0.09090909090909091,정상 또는 경미한 편차
CJB270012900_2024-01-16,7.0,1.0,-0.4835593807926522,0.3918061961023846,0.1,정상 또는 경미한 편차
CJB270012900_2024-01-17,5.0,1.0,-0.5197880554925782,0.4257719641509749,0.09433962264150944,정상 또는 경미한 편차
CJB270012900_2024-01-18,7.0,1.0,-0.5090803235054066,0.41028731806386975,0.10091743119266056,정상 또는 경미한 편차
CJB270012900_2024-01-19,0.0,1.0,-0.4550307578905292,0.409353243249464,0.09523809523809523,정상 또는 경미한 편차
CJB270012900_2024-01-20,4.0,1.0,-0.5479647214961756,1.0667049361759768,0.10909090909090909,정상 또는 경미한 편차
CJB270012900_2024-01-21,1.0,1.0,-0.4964822526559774,0.8477619772827829,0.10344827586206896,정상 또는 경미한 편차
CJB270012900_2024-01-22,2.0,1.0,-0.5057336832875757,0.6746882309023903,0.102803738317757,정상 또는 경미한 편차
CJB270012900_2024-01-23,5.0,1.0,-0.5344595343632322,0.4150672834479281,0.09090909090909091,정상 또는 경미한 편차
CJB270012900_2024-01-24,7.0,1.0,-0.5302443257527488,0.6044787849892356,0.09821428571428571,정상 또는 경미한 편차
CJB270012900_2024-01-25,6.0,1.0,-0.48339945197043305,0.4175712783437981,0.08849557522123894,정상 또는 경미한 편차
CJB270012900_2024-01-26,0.0,1.0,-0.48241380068830775,0.4320998422615509,0.09259259259259259,정상 또는 경미한 편차
CJB270012900_2024-01-27,1.0,1.0,-0.5134168038074008,0.6687989203185336,0.13333333333333333,정상 또는 경미한 편차
CJB270012900_2024-01-28,4.0,1.0,-0.4845470824178949,0.6130986119037853,0.1111111111111111,정상 또는 경미한 편차
CJB270012900_2024-01-29,3.0,1.0,-0.5253885195696881,0.41651275679457017,0.09821428571428571,정상 또는 경미한 편차
CJB270012900_2024-01-30,7.0,1.0,-0.4839173026347635,0.3728058458701442,0.09900990099009901,정상 또는 경미한 편차
CJB270013500_2024-01-01,6.0,1.0,-0.4963590130767472,0.369262173313974,0.09523809523809523,정상 또는 경미한 편차
CJB270013500_2024-01-02,7.0,1.0,-0.5378389144728902,0.43471357786494685,0.10576923076923077,정상 또는 경미한 편차
